date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:39:29	157467/157467	---MCZ	200	added ('OK')	text/html	etag:%222671b-/A+Ox/kYPxPI+7UwETc7RHmzUpE-df%22	https://www.greenshield.ca/green-door-project	./www.greenshield.ca/green-door-project.html	(from )
18:39:29	131586/131586	U--MCZ	200	updated ('OK')	text/html	etag:%2220202-LcBhgtXG4kr5GfBTFIvEHsRXoms%22	https://www.greenshield.ca/en-ca/about-prepped	./www.greenshield.ca/en-ca/about-prepped.html	(from )
18:39:29	24/24	---M--	308	error ('Permanent%20Redirect')	text/plain	date:Tue,%2005%20Mar%202024%2018:39:29%20GMT	https://www.greenshield.ca/en-ca/green-door-project	./www.greenshield.ca/en-ca/green-door-project.2.delayed	(from )
18:39:30	64/64	---M--	308	error ('Permanent%20Redirect')	text/plain	date:Tue,%2005%20Mar%202024%2018:39:30%20GMT	https://www.greenshield.ca/en-ca/the-digital-clinic/healthy-living	./www.greenshield.ca/en-ca/the-digital-clinic/healthy-living.18.delayed	(from )
18:39:30	194381/194381	U--MCZ	200	updated ('OK')	text/html	etag:%222f74d-svcR5HoIv43/nlex1JhaOMLGhOo%22	https://www.greenshield.ca/en-ca/cares/oral-health	./www.greenshield.ca/en-ca/cares/oral-health.html	(from )
18:39:30	197156/197156	U--MCZ	200	updated ('OK')	text/html	etag:%2230224-idZy+aBscnbq7C9NcqJHbUfVON0%22	https://www.greenshield.ca/en-ca/green-door-project/media	./www.greenshield.ca/en-ca/green-door-project/media.html	(from )
18:39:30	118217/118217	U--MCZ	200	updated ('OK')	text/html	etag:%221cdc9-FbIWvAmEL8V8MUrDWAwVvbRXw9U-df%22	https://www.greenshield.ca/en-ca/pharmacy-provider-pgx	./www.greenshield.ca/en-ca/pharmacy-provider-pgx.html	(from )
18:39:33	167883/167883	U--MCZ	200	updated ('OK')	text/html	etag:%2228fcb-ihHvYvheMH7drCIfPMfPCg7VlnE%22	https://www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/healthy-living	./www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/healthy-living.html	(from )
18:39:33	152597/152597	U--MCZ	200	updated ('OK')	text/html	etag:%2225415-XUUQYPHGbyInpoCRvv2fL2zgB3U-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/mobile-app	./www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/mobile-app.html	(from )
18:39:34	144362/144362	U--MCZ	200	updated ('OK')	text/html	etag:%22233ea-MDVgs6ih3N5e8Yv74jjuyonJ0dQ-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/customer-service	./www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/customer-service.html	(from )
18:39:35	142485/142485	U--MCZ	200	updated ('OK')	text/html	etag:%2222c95-DypjSW5XOel/NzYBM1aS+5IG2Us%22	https://www.greenshield.ca/en-ca/products-and-services/for-my-organization/a-darn-good-experience/service-excellence	./www.greenshield.ca/en-ca/products-and-services/for-my-organization/a-darn-good-experience/service-excellence.html	(from )
18:39:37	164900/164900	U--MCZ	200	updated ('OK')	text/html	etag:%2228424-sBFoiqDGz2rihMH+414uUL0NybI%22	https://www.greenshield.ca/en-ca/products-and-services/for-my-organization/gsc360	./www.greenshield.ca/en-ca/products-and-services/for-my-organization/gsc360.html	(from )
