date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:06	131586/131586	---MCZ	200	added ('OK')	text/html	etag:%2220202-aMqKCIS2F0WNCNiBB34220zDvLc-df%22	https://www.greenshield.ca/en-ca/about-prepped	./www.greenshield.ca/en-ca/about-prepped.html	(from )
18:17:06	24/24	---M--	308	error ('Permanent%20Redirect')	text/plain	date:Tue,%2005%20Mar%202024%2018:17:06%20GMT	https://www.greenshield.ca/en-ca/green-door-project	./www.greenshield.ca/en-ca/green-door-project.1.delayed	(from )
18:17:08	194381/194381	---MCZ	200	added ('OK')	text/html	etag:%222f74d-F4AZuR+xUJkrJyv5mtcJtzHdX/Q%22	https://www.greenshield.ca/en-ca/cares/oral-health	./www.greenshield.ca/en-ca/cares/oral-health.html	(from )
18:17:09	197156/197156	---MCZ	200	added ('OK')	text/html	etag:%2230224-+E9CM1uTj/94iHy4lApirf8qPGQ-df%22	https://www.greenshield.ca/en-ca/green-door-project/media	./www.greenshield.ca/en-ca/green-door-project/media.html	(from )
18:17:10	118217/118217	---MCZ	200	added ('OK')	text/html	etag:%221cdc9-4bvLAimxHOSzlbYdYdlPtt4dAjQ-df%22	https://www.greenshield.ca/en-ca/pharmacy-provider-pgx	./www.greenshield.ca/en-ca/pharmacy-provider-pgx.html	(from )
18:17:11	144362/144362	---MCZ	200	added ('OK')	text/html	etag:%22233ea-O51zVmscRF1BCbt+tNwRORvS3mw-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/customer-service	./www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/customer-service.html	(from )
18:17:12	167883/167883	---MCZ	200	added ('OK')	text/html	etag:%2228fcb-RvhaA9z/PNZ/DJhhZj+p8M2na+s-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/healthy-living	./www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/healthy-living.html	(from )
18:17:13	152597/152597	---MCZ	200	added ('OK')	text/html	etag:%2225415-vPQSQE6wwyWI7B+3X1rpgbHt03w%22	https://www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/mobile-app	./www.greenshield.ca/en-ca/products-and-services/for-me-and-my-family/mobile-app.html	(from )
18:17:14	141241/141241	---MCZ	200	added ('OK')	text/html	etag:%22227b9-Jj7+x9OMP6/cbZYlupXodmuDbY4-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-my-organization/a-darn-good-experience/online-administration	./www.greenshield.ca/en-ca/products-and-services/for-my-organization/a-darn-good-experience/online-administration.html	(from )
18:17:15	142485/142485	---MCZ	200	added ('OK')	text/html	etag:%2222c95-pUpq23w4ynE+PCejWOm/9WjxbAA-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-my-organization/a-darn-good-experience/service-excellence	./www.greenshield.ca/en-ca/products-and-services/for-my-organization/a-darn-good-experience/service-excellence.html	(from )
18:17:16	164900/164900	---MCZ	200	added ('OK')	text/html	etag:%2228424-3kHauOWH+dqka/5Ay00ITHqGGXM-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-my-organization/gsc360	./www.greenshield.ca/en-ca/products-and-services/for-my-organization/gsc360.html	(from )
18:17:17	149052/149052	---MCZ	200	added ('OK')	text/html	etag:%222463c-2e7nEIqkRGa43kz9fgeZMXLl33o-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-my-organization/gsc360/life-and-disability-benefits	./www.greenshield.ca/en-ca/products-and-services/for-my-organization/gsc360/life-and-disability-benefits.html	(from )
18:17:18	159600/159600	---MCZ	200	added ('OK')	text/html	etag:%2226f70-pJrZVcNd5I/uvuHIgEFAu0iU6+0-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-my-organization/health-and-wellbeing	./www.greenshield.ca/en-ca/products-and-services/for-my-organization/health-and-wellbeing.html	(from )
18:17:19	158317/158317	---MCZ	200	added ('OK')	text/html	etag:%2226a6d-HBJIfbq7Hjw4crtyM0C3mkp3iZ8-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-my-organization/industry-leading-products	./www.greenshield.ca/en-ca/products-and-services/for-my-organization/industry-leading-products.html	(from )
18:17:20	145578/145578	---MCZ	200	added ('OK')	text/html	etag:%22238aa-pGKouwBWrs79y9McaMO1o0qaNXA-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-my-organization/industry-leading-products/claim-watch	./www.greenshield.ca/en-ca/products-and-services/for-my-organization/industry-leading-products/claim-watch.html	(from )
18:17:21	147455/147455	---MCZ	200	added ('OK')	text/html	etag:%2223fff-C+A9QQs2vQPAJlkXR5swdHgTNgE-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-my-organization/industry-leading-products/smartspend	./www.greenshield.ca/en-ca/products-and-services/for-my-organization/industry-leading-products/smartspend.html	(from )
18:17:22	185277/185277	---MCZ	200	added ('OK')	text/html	etag:%222d3bd-BDU82G0POnTQ05GaPHOXul9wGkA-df%22	https://www.greenshield.ca/en-ca/products-and-services/for-my-organization/public-sector-solutions	./www.greenshield.ca/en-ca/products-and-services/for-my-organization/public-sector-solutions.html	(from )
18:17:23	117657/117657	---MCZ	200	added ('OK')	text/html	etag:%221cb99-X10FYTEP05qeOimMDDgifk8Thpc-df%22	https://www.greenshield.ca/en-ca/providerConnect	./www.greenshield.ca/en-ca/providerConnect.html	(from )
18:17:24	162016/162016	---MCZ	200	added ('OK')	text/html	etag:%22278e0-1WYtxnzUOrhPsPyXjgI8d6/skUo-df%22	https://www.greenshield.ca/en-ca/resources/for-me-and-my-family/getting-started	./www.greenshield.ca/en-ca/resources/for-me-and-my-family/getting-started.html	(from )
18:17:25	152692/152692	---MCZ	200	added ('OK')	text/html	etag:%2225474-quQncReBD5zoRovIJQm6Lo4pLiA-df%22	https://www.greenshield.ca/en-ca/resources/for-me-and-my-family/getting-started/discounts	./www.greenshield.ca/en-ca/resources/for-me-and-my-family/getting-started/discounts.html	(from )
18:17:26	144676/144676	---MCZ	200	added ('OK')	text/html	etag:%2223524-4JVAHFlnKTfbvzCgmzcNks81qj4-df%22	https://www.greenshield.ca/en-ca/resources/for-me-and-my-family/getting-started/fraud-prevention	./www.greenshield.ca/en-ca/resources/for-me-and-my-family/getting-started/fraud-prevention.html	(from )
18:17:27	153528/153528	---MCZ	200	added ('OK')	text/html	etag:%22257b8-qDA6v86AWh0ph+Y9Eucc0AM/4fo-df%22	https://www.greenshield.ca/en-ca/resources/for-me-and-my-family/getting-started/how-to-submit-a-claim	./www.greenshield.ca/en-ca/resources/for-me-and-my-family/getting-started/how-to-submit-a-claim.html	(from )
18:17:28	164414/164414	---MCZ	200	added ('OK')	text/html	etag:%222823e-VquJUnjHlCRuxcnXjaLMv63F14I-df%22	https://www.greenshield.ca/en-ca/the-digital-clinic	./www.greenshield.ca/en-ca/the-digital-clinic.html	(from )
18:17:28	64/64	---M--	308	error ('Permanent%20Redirect')	text/plain	date:Tue,%2005%20Mar%202024%2018:17:28%20GMT	https://www.greenshield.ca/en-ca/the-digital-clinic/healthy-living	./www.greenshield.ca/en-ca/the-digital-clinic/healthy-living.17.delayed	(from )
18:17:30	159725/159725	---MCZ	200	added ('OK')	text/html	etag:%2226fed-upfIPgQHx9Bx81j2SJgC5JtT6Qc-df%22	https://www.greenshield.ca/en-ca/the-digital-clinic/mental-health	./www.greenshield.ca/en-ca/the-digital-clinic/mental-health.html	(from )
18:17:31	152969/152969	---MCZ	200	added ('OK')	text/html	etag:%2225589-asQLWz0gppvHIQmQoVJFUX56370-df%22	https://www.greenshield.ca/en-ca/the-digital-clinic/pharmacy-services	./www.greenshield.ca/en-ca/the-digital-clinic/pharmacy-services.html	(from )
18:17:32	140328/140328	---MCZ	200	added ('OK')	text/html	etag:%2222428-zFwnLJHETueYOpJVPevMTLJEGCc-df%22	https://www.greenshield.ca/en-ca/the-digital-clinic/pharmacy-services/genxys	./www.greenshield.ca/en-ca/the-digital-clinic/pharmacy-services/genxys.html	(from )
18:17:33	144399/144399	---MCZ	200	added ('OK')	text/html	etag:%222340f-UUhDclQwxc/ZS/PS5451x9vyCt0-df%22	https://www.greenshield.ca/en-ca/the-digital-clinic/virtual-care	./www.greenshield.ca/en-ca/the-digital-clinic/virtual-care.html	(from )
18:17:34	129/129	---M--	200	added ('OK')	text/plain	etag:%22a87370acc5e51f9a39069943ab6114b5-ssl%22	https://www.greenshield.ca/robots.txt		(from )
18:17:34	3347/3347	---M--	200	added ('OK')	image/png	etag:%222cb37988a80d772de067c507a01ea7de-ssl%22	https://www.greenshield.ca/favicon-48x48.png	./www.greenshield.ca/favicon-48x48.png	(from https://www.greenshield.ca/en-ca/about-prepped)
18:17:35	4345/4345	---M--	200	added ('OK')	image/png	etag:%22eb116087655ca9ad1a109cbebe562c43-ssl%22	https://www.greenshield.ca/favicon-96x96.png	./www.greenshield.ca/favicon-96x96.png	(from https://www.greenshield.ca/en-ca/about-prepped)
18:17:36	5989/5989	---M--	200	added ('OK')	image/png	etag:%229c0a9d17ca6eb981cbfc5f935a908b89-ssl%22	https://www.greenshield.ca/favicon-167x167.png	./www.greenshield.ca/favicon-167x167.png	(from https://www.greenshield.ca/en-ca/about-prepped)
18:17:37	4471/4471	---M--	200	added ('OK')	image/png	etag:%22525d512500efcdee9d8cfbb87ebed37f-ssl%22	https://www.greenshield.ca/favicon-180x180.png	./www.greenshield.ca/favicon-180x180.png	(from https://www.greenshield.ca/en-ca/about-prepped)
18:17:38	4416/4416	---M--	200	added ('OK')	image/png	etag:%22f7371eef814927412f9dd6d14700f4a5-ssl%22	https://www.greenshield.ca/favicon-192x192.png	./www.greenshield.ca/favicon-192x192.png	(from https://www.greenshield.ca/en-ca/about-prepped)
18:17:39	6742/6742	---M-Z	200	added ('OK')	text/css	etag:%226f54c60097937b8d01af41b42ba9a481-ssl-df%22	https://www.greenshield.ca/_next/static/css/3fb2be7bf84d142e.css	./www.greenshield.ca/_next/static/css/3fb2be7bf84d142e.css	(from https://www.greenshield.ca/en-ca/about-prepped)
18:17:40	7177/7177	---M-Z	200	added ('OK')	text/css	etag:%22da449a9ad9ccbef4aef7fbce13abb429-ssl-df%22	https://www.greenshield.ca/_next/static/css/c657bba884f827e8.css	./www.greenshield.ca/_next/static/css/c657bba884f827e8.css	(from https://www.greenshield.ca/en-ca/about-prepped)
18:17:41	91434/91434	---M-Z	200	added ('OK')	application/javascript	etag:%22985a299bd8c14f418246a3b1713bc887-ssl-df%22	https://www.greenshield.ca/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	./www.greenshield.ca/_next/static/chunks/polyfills-5cd94c89d3acac5f.js	(from https://www.greenshield.ca/en-ca/about-prepped)
18:17:42	3276/3276	---M-Z	200	added ('OK')	application/javascript	etag:%228692f0178cd1916bc450640060b8573d-ssl-df%22	https://www.greenshield.ca/_next/static/chunks/webpack-ff205e6d19ef3db7.js	./www.greenshield.ca/_next/static/chunks/webpack-ff205e6d19ef3db7.js	(from https://www.greenshield.ca/en-ca/about-prepped)
